,learning_rate,weight_decay,epoch,TP,TN,FP,FN,accuracy,precision,recall,f1_score
0,0.0014,6.2774e-06,1,105.0,1042.0,122.0,555.0,0.6288377046585083,0.46255508065223694,0.15909090638160706,0.23675309020413177
1,0.0014,6.2774e-06,2,204.0,1076.0,88.0,456.0,0.7017543911933899,0.698630154132843,0.30909091234207153,0.4285714454708456
2,0.0014,6.2774e-06,3,254.0,1065.0,99.0,406.0,0.7231359481811523,0.7195467352867126,0.3848484754562378,0.5014807857830749
3,0.0014,6.2774e-06,4,279.0,1067.0,97.0,381.0,0.7379385828971863,0.7420212626457214,0.4227272868156433,0.5386100409810269
4,0.0014,6.2774e-06,5,340.0,1048.0,116.0,320.0,0.7609649300575256,0.7456140518188477,0.5151515007019043,0.6093189831986708
5,0.0014,6.2774e-06,6,345.0,1061.0,103.0,315.0,0.7708333134651184,0.7700892686843872,0.5227272510528564,0.6227436578434662
6,0.0014,6.2774e-06,7,356.0,1064.0,100.0,304.0,0.7785087823867798,0.780701756477356,0.539393961429596,0.6379928020873838
7,0.0014,6.2774e-06,8,397.0,1069.0,95.0,263.0,0.8037280440330505,0.8069105744361877,0.6015151739120483,0.6892361164011168
8,0.0014,6.2774e-06,9,419.0,1047.0,117.0,241.0,0.8037280440330505,0.7817164063453674,0.6348484754562378,0.7006688458006592
9,0.0014,6.2774e-06,10,413.0,1069.0,95.0,247.0,0.8125,0.8129921555519104,0.6257575750350952,0.7071917825244417
10,0.0014,6.2774e-06,11,443.0,1073.0,91.0,217.0,0.8311403393745422,0.829587996006012,0.6712121367454529,0.7420435272729352
11,0.0014,6.2774e-06,12,463.0,1068.0,96.0,197.0,0.8393640518188477,0.8282647728919983,0.7015151381492615,0.7596390290946802
12,0.0014,6.2774e-06,13,462.0,1080.0,84.0,198.0,0.8453947305679321,0.8461538553237915,0.699999988079071,0.7661691780111114
13,0.0014,6.2774e-06,14,484.0,1071.0,93.0,176.0,0.8525219559669495,0.8388214707374573,0.7333333492279053,0.7825383923040236
14,0.0014,6.2774e-06,15,494.0,1070.0,94.0,166.0,0.8574561476707458,0.8401360511779785,0.7484848499298096,0.7916666854265372
15,0.0014,6.2774e-06,16,494.0,1086.0,78.0,166.0,0.8662280440330505,0.8636363744735718,0.7484848499298096,0.8019480675534569
16,0.0014,6.2774e-06,17,503.0,1081.0,83.0,157.0,0.8684210777282715,0.8583617806434631,0.7621212005615234,0.8073836385898183
17,0.0014,6.2774e-06,18,528.0,1080.0,84.0,132.0,0.8815789222717285,0.8627451062202454,0.800000011920929,0.8301886914197809
18,0.0014,6.2774e-06,19,519.0,1106.0,58.0,141.0,0.890899121761322,0.8994800448417664,0.7863636612892151,0.8391269280849607
19,0.0014,6.2774e-06,20,541.0,1085.0,79.0,119.0,0.8914473652839661,0.8725806474685669,0.8196969628334045,0.8453124412240363
20,0.0037,1.1011e-06,1,187.0,935.0,229.0,473.0,0.6151315569877625,0.44951921701431274,0.28333333134651184,0.3475836068405737
21,0.0037,1.1011e-06,2,262.0,1040.0,124.0,398.0,0.7138158082962036,0.6787564754486084,0.3969697058200836,0.5009560226267185
22,0.0037,1.1011e-06,3,306.0,1047.0,117.0,354.0,0.7417762875556946,0.7234042286872864,0.4636363685131073,0.5650969438674992
23,0.0037,1.1011e-06,4,353.0,1015.0,149.0,307.0,0.75,0.7031872272491455,0.5348485112190247,0.6075731729440071
