,learning_rate,weight_decay,epoch,TP,TN,FP,FN,accuracy,precision,recall,f1_score
0,0.0001,5.59e-06,1,11.0,1371.0,35.0,503.0,0.7197916507720947,0.239130437374115,0.021400777623057365,0.03928571448998321
1,0.0001,5.59e-06,2,0.0,1423.0,0.0,497.0,0.7411458492279053,,0.0,
2,0.0001,5.59e-06,3,0.0,1399.0,0.0,521.0,0.7286458611488342,,0.0,
3,0.0001,5.59e-06,4,0.0,1402.0,0.0,518.0,0.7302083373069763,,0.0,
4,0.0001,5.59e-06,5,0.0,1397.0,0.0,523.0,0.7276041507720947,,0.0,
5,0.0001,5.59e-06,6,0.0,1419.0,0.0,501.0,0.739062488079071,,0.0,
6,0.0001,5.59e-06,7,0.0,1378.0,2.0,540.0,0.7177083492279053,0.0,0.0,
7,0.0001,5.59e-06,8,0.0,1403.0,0.0,517.0,0.7307291626930237,,0.0,
8,0.0001,5.59e-06,9,0.0,1431.0,0.0,489.0,0.745312511920929,,0.0,
9,0.0001,5.59e-06,10,1.0,1406.0,0.0,513.0,0.7328125238418579,1.0,0.0019455252913758159,0.003883495259789852
10,0.0001,5.59e-06,11,0.0,1421.0,1.0,498.0,0.7401041388511658,0.0,0.0,
11,0.0001,5.59e-06,12,0.0,1410.0,1.0,509.0,0.734375,0.0,0.0,
12,0.0001,5.59e-06,13,1.0,1424.0,0.0,495.0,0.7421875,1.0,0.002016128972172737,0.004024144517633113
13,0.0001,5.59e-06,14,3.0,1423.0,2.0,492.0,0.7427083253860474,0.6000000238418579,0.0060606058686971664,0.011999999723397204
14,0.0001,5.59e-06,15,4.0,1396.0,3.0,517.0,0.7291666865348816,0.5714285969734192,0.007677542977035046,0.015151514907847422
15,0.0001,5.59e-06,16,13.0,1373.0,2.0,532.0,0.721875011920929,0.8666666746139526,0.023853210732340813,0.04642857334092615
16,0.0001,5.59e-06,17,11.0,1433.0,2.0,474.0,0.7520833611488342,0.8461538553237915,0.022680412977933884,0.04417670643125773
17,0.0001,5.59e-06,18,16.0,1406.0,1.0,497.0,0.7406250238418579,0.9411764740943909,0.03118908405303955,0.06037735983508716
18,0.0001,5.59e-06,19,13.0,1395.0,5.0,507.0,0.7333333492279053,0.7222222089767456,0.02500000037252903,0.048327142050115554
19,0.0001,5.59e-06,20,23.0,1366.0,9.0,522.0,0.723437488079071,0.71875,0.04220183566212654,0.07972270610002481
20,0.0074,1.42543e-05,1,89.0,1210.0,169.0,452.0,0.676562488079071,0.3449612259864807,0.16451016068458557,0.22277845295800697
21,0.0074,1.42543e-05,2,50.0,1386.0,29.0,455.0,0.7479166388511658,0.6329113841056824,0.09900990128517151,0.17123287057674996
22,0.0074,1.42543e-05,3,96.0,1309.0,113.0,402.0,0.7317708134651184,0.45933014154434204,0.1927710771560669,0.2715700132069606
23,0.0074,1.42543e-05,4,111.0,1309.0,110.0,390.0,0.7395833134651184,0.5022624731063843,0.2215568870306015,0.30747922745620476
24,0.0074,1.42543e-05,5,116.0,1359.0,68.0,377.0,0.7682291865348816,0.6304348111152649,0.23529411852359772,0.3426883406344347
25,0.0074,1.42543e-05,6,127.0,1327.0,90.0,376.0,0.7572916746139526,0.5852534770965576,0.25248509645462036,0.3527777922053066
26,0.0074,1.42543e-05,7,148.0,1280.0,119.0,373.0,0.7437499761581421,0.5543071031570435,0.28406909108161926,0.3756345082029101
27,0.0074,1.42543e-05,8,182.0,1267.0,110.0,361.0,0.754687488079071,0.6232876777648926,0.33517494797706604,0.4359281654224346
28,0.0074,1.42543e-05,9,157.0,1304.0,108.0,351.0,0.760937511920929,0.5924528241157532,0.3090551197528839,0.40620956556499216
29,0.0074,1.42543e-05,10,157.0,1342.0,79.0,342.0,0.7807291746139526,0.6652542352676392,0.3146292567253113,0.427210882036473
30,0.0074,1.42543e-05,11,194.0,1273.0,113.0,340.0,0.7640625238418579,0.6319218277931213,0.36329588294029236,0.46135556114272624
31,0.0074,1.42543e-05,12,186.0,1330.0,93.0,311.0,0.7895833253860474,0.6666666865348816,0.37424546480178833,0.4793814371005121
32,0.0074,1.42543e-05,13,208.0,1299.0,101.0,312.0,0.7848958373069763,0.6731391549110413,0.4000000059604645,0.5018094022934981
33,0.0074,1.42543e-05,14,189.0,1321.0,101.0,309.0,0.7864583134651184,0.6517241597175598,0.379518061876297,0.4796954276579421
34,0.0074,1.42543e-05,15,197.0,1319.0,99.0,305.0,0.7895833253860474,0.6655405163764954,0.39243027567863464,0.4937343533483525
35,0.0074,1.42543e-05,16,223.0,1286.0,131.0,280.0,0.785937488079071,0.6299434900283813,0.4433399736881256,0.5204201123270283
36,0.0074,1.42543e-05,17,229.0,1298.0,99.0,294.0,0.7953125238418579,0.6981707215309143,0.437858521938324,0.5381903782111176
37,0.0074,1.42543e-05,18,196.0,1321.0,101.0,302.0,0.7901041507720947,0.6599326729774475,0.3935742974281311,0.49308177680525067
38,0.0074,1.42543e-05,19,205.0,1322.0,118.0,275.0,0.7953125238418579,0.6346749067306519,0.4270833432674408,0.5105853206258588
39,0.0074,1.42543e-05,20,243.0,1320.0,112.0,245.0,0.8140624761581421,0.6845070719718933,0.49795082211494446,0.5765124542603136
40,0.0002,5.954e-07,1,5.0,1417.0,23.0,475.0,0.7406250238418579,0.1785714328289032,0.010416666977107525,0.019685039699901687
41,0.0002,5.954e-07,2,0.0,1397.0,0.0,523.0,0.7276041507720947,,0.0,
42,0.0002,5.954e-07,3,0.0,1407.0,0.0,513.0,0.7328125238418579,,0.0,
43,0.0002,5.954e-07,4,0.0,1404.0,0.0,516.0,0.731249988079071,,0.0,
44,0.0002,5.954e-07,5,0.0,1373.0,0.0,547.0,0.7151041626930237,,0.0,
45,0.0002,5.954e-07,6,0.0,1447.0,0.0,473.0,0.7536458373069763,,0.0,
46,0.0002,5.954e-07,7,0.0,1390.0,0.0,530.0,0.7239583134651184,,0.0,
47,0.0002,5.954e-07,8,4.0,1369.0,0.0,547.0,0.7151041626930237,1.0,0.007259528152644634,0.014414415030821331
48,0.0002,5.954e-07,9,5.0,1421.0,2.0,492.0,0.7427083253860474,0.7142857313156128,0.01006036251783371,0.01984126984126984
49,0.0002,5.954e-07,10,10.0,1415.0,2.0,493.0,0.7421875,0.8333333134651184,0.019880715757608414,0.0388349497183147
50,0.0002,5.954e-07,11,9.0,1424.0,1.0,486.0,0.7463541626930237,0.8999999761581421,0.0181818176060915,0.035643564420708866
51,0.0002,5.954e-07,12,24.0,1394.0,3.0,499.0,0.7385416626930237,0.8888888955116272,0.045889101922512054,0.08727272802629502
52,0.0002,5.954e-07,13,27.0,1399.0,9.0,485.0,0.7427083253860474,0.75,0.052734375,0.09854014598540146
53,0.0002,5.954e-07,14,33.0,1404.0,3.0,480.0,0.7484375238418579,0.9166666865348816,0.06432748585939407,0.12021858234764832
54,0.0002,5.954e-07,15,46.0,1394.0,11.0,469.0,0.75,0.8070175647735596,0.08932039141654968,0.16083915700274024
55,0.0002,5.954e-07,16,33.0,1421.0,4.0,462.0,0.7572916746139526,0.8918918967247009,0.06666667014360428,0.12406015715513
56,0.0002,5.954e-07,17,56.0,1394.0,10.0,460.0,0.7552083134651184,0.8484848737716675,0.10852713137865067,0.1924398715321135
57,0.0002,5.954e-07,18,47.0,1419.0,11.0,443.0,0.7635416388511658,0.8103448152542114,0.09591836482286453,0.17153285067591179
58,0.0002,5.954e-07,19,50.0,1408.0,7.0,455.0,0.7593749761581421,0.8771929740905762,0.09900990128517151,0.17793595370756052
59,0.0002,5.954e-07,20,62.0,1382.0,18.0,458.0,0.7520833611488342,0.7749999761581421,0.11923076957464218,0.20666667244340386
60,0.0002,1.5164e-06,1,75.0,1155.0,234.0,456.0,0.640625,0.24271844327449799,0.14124293625354767,0.1785714341155729
61,0.0002,1.5164e-06,2,0.0,1395.0,0.0,525.0,0.7265625,,0.0,
62,0.0002,1.5164e-06,3,0.0,1411.0,0.0,509.0,0.7348958253860474,,0.0,
63,0.0002,1.5164e-06,4,0.0,1419.0,0.0,501.0,0.739062488079071,,0.0,
64,0.0002,1.5164e-06,5,0.0,1392.0,0.0,528.0,0.7250000238418579,,0.0,
65,0.0002,1.5164e-06,6,0.0,1390.0,1.0,529.0,0.7239583134651184,0.0,0.0,
