,learning_rate,weight_decay,epoch,TP,TN,FP,FN,accuracy,precision,recall,f1_score
0,0.0001,2.9945e-06,1,153.0,533.0,140.0,445.0,0.5397325158119202,0.5221843123435974,0.2558528482913971,0.34343435658942284
1,0.0001,2.9945e-06,2,289.0,448.0,225.0,309.0,0.5798583626747131,0.5622568130493164,0.4832775890827179,0.5197842149057907
2,0.0001,2.9945e-06,3,217.0,564.0,109.0,381.0,0.6144767999649048,0.6656441688537598,0.3628762662410736,0.46969695828221497
3,0.0001,2.9945e-06,4,307.0,488.0,185.0,291.0,0.625491738319397,0.6239837408065796,0.5133779048919678,0.5633027495049986
4,0.0001,2.9945e-06,5,238.0,567.0,106.0,360.0,0.6333595514297485,0.6918604373931885,0.3979932963848114,0.5053078221850035
5,0.0001,2.9945e-06,6,308.0,512.0,161.0,290.0,0.6451612710952759,0.6567164063453674,0.5150501728057861,0.5773196269592827
6,0.0001,2.9945e-06,7,306.0,527.0,146.0,292.0,0.6553894281387329,0.6769911646842957,0.5117056965827942,0.582857143430204
7,0.0001,2.9945e-06,8,327.0,535.0,138.0,271.0,0.6782061457633972,0.7032257914543152,0.546822726726532,0.6152398679136046
8,0.0001,2.9945e-06,9,284.0,581.0,92.0,314.0,0.6805664896965027,0.7553191781044006,0.47491639852523804,0.5831622571551606
9,0.0001,2.9945e-06,10,332.0,551.0,122.0,266.0,0.6947285532951355,0.7312775254249573,0.5551839470863342,0.6311787172659232
10,0.0001,2.9945e-06,11,410.0,471.0,202.0,188.0,0.6931549906730652,0.6699346303939819,0.6856187582015991,0.6776859464158859
11,0.0001,2.9945e-06,12,337.0,555.0,118.0,261.0,0.7018095850944519,0.7406593561172485,0.5635451674461365,0.6400760114291355
12,0.0001,2.9945e-06,13,346.0,562.0,111.0,252.0,0.7143980860710144,0.7571116089820862,0.5785953402519226,0.6559241719696393
13,0.0001,2.9945e-06,14,362.0,541.0,132.0,236.0,0.7104641795158386,0.7327935099601746,0.6053511500358582,0.6630036638194643
14,0.0001,2.9945e-06,15,391.0,541.0,132.0,207.0,0.7332808971405029,0.7476099133491516,0.6538461446762085,0.6975913950909243
15,0.0001,2.9945e-06,16,382.0,548.0,125.0,216.0,0.7317073345184326,0.7534517049789429,0.6387959718704224,0.6914027033090105
16,0.0001,2.9945e-06,17,381.0,542.0,131.0,217.0,0.7261998653411865,0.744140625,0.6371237635612488,0.6864864727244231
17,0.0001,2.9945e-06,18,355.0,574.0,99.0,243.0,0.7309205532073975,0.7819383144378662,0.5936455130577087,0.6749049373641266
18,0.0001,2.9945e-06,19,388.0,561.0,112.0,210.0,0.7466561794281006,0.7760000228881836,0.648829460144043,0.706739586303464
19,0.0001,2.9945e-06,20,368.0,574.0,99.0,230.0,0.7411487102508545,0.7880085706710815,0.6153846383094788,0.6910797997641286
20,0.0003,2.0154e-06,1,254.0,425.0,248.0,344.0,0.5342250466346741,0.5059760808944702,0.4247491657733917,0.4618181978866701
21,0.0003,2.0154e-06,2,272.0,513.0,160.0,326.0,0.6176239252090454,0.6296296119689941,0.454849511384964,0.5281553696878294
22,0.0003,2.0154e-06,3,293.0,497.0,176.0,305.0,0.6215578317642212,0.6247334480285645,0.4899665415287018,0.5492033767019033
23,0.0003,2.0154e-06,4,308.0,528.0,145.0,290.0,0.6577498316764832,0.6799116730690002,0.5150501728057861,0.5861084713528423
24,0.0003,2.0154e-06,5,327.0,542.0,131.0,271.0,0.6837136149406433,0.7139738202095032,0.546822726726532,0.6193181603293695
25,0.0003,2.0154e-06,6,346.0,535.0,138.0,252.0,0.6931549906730652,0.7148760557174683,0.5785953402519226,0.6395564357669341
26,0.0003,2.0154e-06,7,363.0,537.0,136.0,235.0,0.7081038355827332,0.7274549007415771,0.6070234179496765,0.6618049123777426
27,0.0003,2.0154e-06,8,346.0,558.0,115.0,252.0,0.7112509608268738,0.7505422830581665,0.5785953402519226,0.6534467022804556
