,learning_rate,weight_decay,epoch,TP,TN,FP,FN,accuracy,precision,recall,f1_score
0,0.0082,2.28881e-05,1,482.0,606.0,380.0,452.0,0.5666666626930237,0.5591647624969482,0.516059935092926,0.5367483706108827
1,0.0082,2.28881e-05,2,574.0,584.0,376.0,386.0,0.6031249761581421,0.6042105555534363,0.5979166626930237,0.6010471457553191
2,0.0082,2.28881e-05,3,589.0,498.0,445.0,388.0,0.5661458373069763,0.5696324706077576,0.6028659343719482,0.5857781860440053
3,0.0082,2.28881e-05,4,556.0,596.0,354.0,414.0,0.6000000238418579,0.6109890341758728,0.5731958746910095,0.5914893629872485
4,0.0082,2.28881e-05,5,586.0,642.0,335.0,357.0,0.6395833492279053,0.6362649202346802,0.6214209794998169,0.6287553432464152
5,0.0082,2.28881e-05,6,600.0,637.0,339.0,344.0,0.6442708373069763,0.6389776468276978,0.6355932354927063,0.6372809130970094
6,0.0082,2.28881e-05,7,671.0,626.0,327.0,296.0,0.6755208373069763,0.6723446846008301,0.6938986778259277,0.682951658162375
7,0.0082,2.28881e-05,8,617.0,592.0,353.0,358.0,0.629687488079071,0.6360824704170227,0.6328204870223999,0.6344472597147965
8,0.0082,2.28881e-05,9,595.0,679.0,312.0,334.0,0.6635416746139526,0.6560088396072388,0.6404736042022705,0.6481481668783469
9,0.0082,2.28881e-05,10,652.0,663.0,289.0,316.0,0.6848958134651184,0.6928799152374268,0.6735537052154541,0.6830801216072339
10,0.0082,2.28881e-05,11,631.0,642.0,316.0,331.0,0.6630208492279053,0.6663146615028381,0.6559251546859741,0.661079061270032
11,0.0082,2.28881e-05,12,657.0,688.0,282.0,293.0,0.7005208134651184,0.699680507183075,0.6915789246559143,0.6956061446027798
12,0.0082,2.28881e-05,13,690.0,630.0,311.0,289.0,0.6875,0.6893106698989868,0.7048008441925049,0.6969696840137652
13,0.0082,2.28881e-05,14,592.0,645.0,317.0,366.0,0.6442708373069763,0.6512651443481445,0.6179540753364563,0.6341725288912858
14,0.0082,2.28881e-05,15,648.0,684.0,302.0,286.0,0.6937500238418579,0.6821052432060242,0.6937901377677917,0.6878980894479021
15,0.0082,2.28881e-05,16,613.0,703.0,284.0,320.0,0.6854166388511658,0.6833890676498413,0.6570203900337219,0.669945313882661
16,0.0082,2.28881e-05,17,610.0,709.0,276.0,325.0,0.6869791746139526,0.6884875893592834,0.6524063944816589,0.6699615690783104
17,0.0082,2.28881e-05,18,716.0,607.0,319.0,278.0,0.6890624761581421,0.6917874217033386,0.7203219532966614,0.7057663955794
18,0.0082,2.28881e-05,19,682.0,674.0,281.0,283.0,0.706250011920929,0.7082035541534424,0.7067357301712036,0.7074689130536066
19,0.0082,2.28881e-05,20,644.0,717.0,274.0,285.0,0.7088541388511658,0.7015250325202942,0.6932185292243958,0.697347050078902
20,0.0024,9.942e-07,1,617.0,453.0,480.0,370.0,0.5572916865348816,0.5624430179595947,0.6251266598701477,0.5921305300833483
21,0.0024,9.942e-07,2,598.0,516.0,409.0,397.0,0.5802083611488342,0.5938431024551392,0.6010050177574158,0.5974026330345306
22,0.0024,9.942e-07,3,597.0,611.0,363.0,349.0,0.6291666626930237,0.621874988079071,0.6310782432556152,0.6264427668470508
23,0.0024,9.942e-07,4,582.0,659.0,333.0,346.0,0.6463541388511658,0.6360656023025513,0.6271551847457886,0.631578957302034
