,learning_rate,weight_decay,epoch,TP,TN,FP,FN,accuracy,precision,recall,f1_score
0,0.0001,9.228e-07,1,39.0,1098.0,29.0,754.0,0.5921875238418579,0.5735294222831726,0.04918032884597778,0.0905923349741982
1,0.0001,9.228e-07,2,59.0,1101.0,41.0,719.0,0.6041666865348816,0.5899999737739563,0.07583547383546829,0.134396351580652
2,0.0001,9.228e-07,3,60.0,1116.0,39.0,705.0,0.612500011920929,0.6060606241226196,0.0784313753247261,0.13888889372659216
3,0.0001,9.228e-07,4,175.0,1018.0,106.0,621.0,0.6213541626930237,0.6227757930755615,0.21984924376010895,0.3249767877007282
4,0.0001,9.228e-07,5,178.0,1022.0,107.0,613.0,0.625,0.6245614290237427,0.22503159940242767,0.33085500111338684
5,0.0001,9.228e-07,6,226.0,1021.0,125.0,548.0,0.6494791507720947,0.6438746452331543,0.29198965430259705,0.4017777496978256
6,0.0001,9.228e-07,7,236.0,1017.0,126.0,541.0,0.6526041626930237,0.6519337296485901,0.303732305765152,0.4143985910426075
7,0.0001,9.228e-07,8,343.0,941.0,166.0,470.0,0.668749988079071,0.673870325088501,0.42189422249794006,0.5189107543033086
8,0.0001,9.228e-07,9,339.0,936.0,178.0,467.0,0.6640625,0.655705988407135,0.42059552669525146,0.5124716015821595
9,0.0001,9.228e-07,10,303.0,942.0,198.0,477.0,0.6484375,0.6047903895378113,0.38846153020858765,0.47306790409650695
10,0.0001,9.228e-07,11,237.0,1051.0,131.0,501.0,0.6708333492279053,0.64402174949646,0.3211382031440735,0.42857141092679
11,0.0001,9.228e-07,12,310.0,966.0,185.0,459.0,0.6645833253860474,0.6262626051902771,0.4031209349632263,0.4905063001623028
12,0.0001,9.228e-07,13,379.0,874.0,209.0,458.0,0.6526041626930237,0.6445578336715698,0.45280763506889343,0.5319297901040143
13,0.0001,9.228e-07,14,397.0,907.0,214.0,402.0,0.6791666746139526,0.649754524230957,0.49687108397483826,0.563120562435691
14,0.0001,9.228e-07,15,350.0,913.0,200.0,457.0,0.6578124761581421,0.6363636255264282,0.43370509147644043,0.5158437910486703
15,0.0001,9.228e-07,16,384.0,915.0,208.0,413.0,0.676562488079071,0.6486486196517944,0.48180678486824036,0.5529157760767829
16,0.0001,9.228e-07,17,325.0,953.0,183.0,459.0,0.6656249761581421,0.6397637724876404,0.4145408272743225,0.5030960020117258
17,0.0001,9.228e-07,18,389.0,925.0,202.0,404.0,0.684374988079071,0.6582064032554626,0.4905422329902649,0.5621387007308329
18,0.0001,9.228e-07,19,349.0,951.0,192.0,428.0,0.6770833134651184,0.6451016664505005,0.44916343688964844,0.5295902950107312
19,0.0001,9.228e-07,20,397.0,929.0,193.0,401.0,0.690625011920929,0.6728813648223877,0.4974937438964844,0.5720461002638264
20,0.0023,1.1301e-06,1,322.0,770.0,350.0,478.0,0.5687500238418579,0.4791666567325592,0.4025000035762787,0.4375
21,0.0023,1.1301e-06,2,268.0,931.0,216.0,505.0,0.6244791746139526,0.5537189841270447,0.34670117497444153,0.42641209001873626
22,0.0023,1.1301e-06,3,368.0,890.0,233.0,429.0,0.6552083492279053,0.6123127937316895,0.461731493473053,0.5264664247653872
23,0.0023,1.1301e-06,4,445.0,861.0,261.0,353.0,0.6802083253860474,0.6303116083145142,0.5576441287994385,0.5917553368967
24,0.0023,1.1301e-06,5,417.0,859.0,263.0,381.0,0.6645833253860474,0.6132352948188782,0.5225563645362854,0.5642760365002675
25,0.0023,1.1301e-06,6,428.0,921.0,220.0,351.0,0.7026041746139526,0.6604938507080078,0.5494223237037659,0.5998598750363564
26,0.0023,1.1301e-06,7,458.0,880.0,237.0,345.0,0.6968749761581421,0.6589928269386292,0.5703611373901367,0.6114820285306239
27,0.0023,1.1301e-06,8,457.0,967.0,183.0,313.0,0.7416666746139526,0.714062511920929,0.5935065150260925,0.6482269887618242
